Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,33589.816700000025
1_2_2012-11-02,47046.201700000034
1_3_2012-11-02,11490.157499999998
1_4_2012-11-02,38436.07369999999
1_5_2012-11-02,32011.867899999972
1_6_2012-11-02,5004.832500000008
1_7_2012-11-02,23925.810999999998
1_8_2012-11-02,38375.05949999998
1_9_2012-11-02,42817.35520000002
1_10_2012-11-02,31563.493199999997
1_11_2012-11-02,25920.724099999996
1_12_2012-11-02,9978.398200000003
1_13_2012-11-02,42737.99860000002
1_14_2012-11-02,14035.005799999999
1_16_2012-11-02,6199.717100000002
1_17_2012-11-02,8539.552799999998
1_18_2012-11-02,12509.039599999995
1_19_2012-11-02,1043.0885
1_20_2012-11-02,3404.7855
1_21_2012-11-02,8242.949200000005
1_22_2012-11-02,7890.187100000007
1_23_2012-11-02,23490.311599999997
1_24_2012-11-02,6551.231899999995
1_25_2012-11-02,10846.7834
1_26_2012-11-02,7681.293099999999
1_27_2012-11-02,1805.3461000000004
1_28_2012-11-02,791.6217999999998
1_29_2012-11-02,4949.2054
1_30_2012-11-02,2465.4695999999994
1_31_2012-11-02,1896.8036000000002
1_32_2012-11-02,6882.782799999999
1_33_2012-11-02,6382.602299999995
1_34_2012-11-02,11922.154100000009
1_35_2012-11-02,2509.9680999999982
1_36_2012-11-02,2219.2165999999984
1_37_2012-11-02,2822.7883999999995
1_38_2012-11-02,87794.3786
1_40_2012-11-02,62889.65529999996
1_41_2012-11-02,1179.8498000000002
1_42_2012-11-02,8176.893899999992
1_44_2012-11-02,5778.956199999997
1_46_2012-11-02,18545.5134
1_48_2012-11-02,2490.5429999999997
1_49_2012-11-02,10113.643499999995
1_52_2012-11-02,2112.3476999999993
1_55_2012-11-02,15096.166700000003
1_56_2012-11-02,1127.5281000000007
1_58_2012-11-02,3183.36
1_59_2012-11-02,677.8372999999998
1_60_2012-11-02,1290.6200000000008
1_67_2012-11-02,6249.420899999998
1_71_2012-11-02,2444.014200000001
1_72_2012-11-02,56080.41320000003
1_74_2012-11-02,10141.169499999995
1_79_2012-11-02,43662.47669999999
1_80_2012-11-02,19005.88449999999
1_81_2012-11-02,31114.101799999993
1_82_2012-11-02,20352.2609
1_83_2012-11-02,5768.319700000001
1_85_2012-11-02,3192.953
1_87_2012-11-02,59798.771599999985
1_90_2012-11-02,89682.75100000008
1_91_2012-11-02,64272.76909999999
1_92_2012-11-02,100000.0
1_93_2012-11-02,78047.50729999994
1_94_2012-11-02,62857.47420000003
1_95_2012-11-02,100000.0
1_96_2012-11-02,32797.58689999998
1_97_2012-11-02,34504.19569999998
1_98_2012-11-02,12876.8909
1_99_2012-11-02,148.27210000000002
1_1_2012-11-09,20257.661399999994
1_2_2012-11-09,47648.33090000001
1_3_2012-11-09,11114.0432
1_4_2012-11-09,37786.716000000015
1_5_2012-11-09,37247.88389999999
1_6_2012-11-09,4348.435500000002
1_7_2012-11-09,25930.270400000005
1_8_2012-11-09,37076.59209999998
1_9_2012-11-09,35234.360299999964
1_10_2012-11-09,32068.784300000003
1_11_2012-11-09,23940.6157
1_12_2012-11-09,10295.398000000005
1_13_2012-11-09,40257.84000000001
1_14_2012-11-09,17462.405600000006
1_16_2012-11-09,6632.4321
1_17_2012-11-09,8538.959800000004
1_18_2012-11-09,12296.845699999996
1_19_2012-11-09,1054.1385000000002
1_20_2012-11-09,3634.419600000002
1_21_2012-11-09,8319.401899999999
1_22_2012-11-09,7779.611000000001
1_23_2012-11-09,22430.75190000001
1_24_2012-11-09,5928.322599999998
1_25_2012-11-09,9945.98579999999
1_26_2012-11-09,7486.396000000001
1_27_2012-11-09,1756.4690000000003
1_28_2012-11-09,757.9956
1_29_2012-11-09,4609.350200000002
1_30_2012-11-09,2496.7846999999992
1_31_2012-11-09,1576.0678999999989
1_32_2012-11-09,6476.288499999996
1_33_2012-11-09,6171.997799999996
1_34_2012-11-09,11566.483500000004
1_35_2012-11-09,2437.0190999999986
1_36_2012-11-09,1433.6054000000006
1_37_2012-11-09,2911.6514
1_38_2012-11-09,79884.21990000003
1_40_2012-11-09,61122.80870000001
1_41_2012-11-09,1043.957
1_42_2012-11-09,8221.246099999997
1_44_2012-11-09,5921.355699999996
1_46_2012-11-09,17998.78889999998
1_48_2012-11-09,2312.79
1_49_2012-11-09,9765.094199999996
1_52_2012-11-09,2026.6774000000012
1_55_2012-11-09,23146.766900000002
1_56_2012-11-09,1237.3563
1_58_2012-11-09,3418.7294
1_59_2012-11-09,762.8945000000008
1_60_2012-11-09,1184.0539999999999
1_67_2012-11-09,6220.078499999998
1_71_2012-11-09,2498.3901000000005
1_72_2012-11-09,45297.93
1_74_2012-11-09,9953.559999999996
1_79_2012-11-09,41171.15719999998
1_80_2012-11-09,19424.873399999986
1_81_2012-11-09,31126.339799999987
1_82_2012-11-09,20264.8687
1_83_2012-11-09,6277.763499999997
1_85_2012-11-09,2953.7675999999988
1_87_2012-11-09,56151.99989999998
1_90_2012-11-09,92694.23490000005
1_91_2012-11-09,72802.28440000005
1_92_2012-11-09,100000.0
1_93_2012-11-09,82767.08529999996
1_94_2012-11-09,62153.118200000004
1_95_2012-11-09,100000.0
1_96_2012-11-09,33355.28969999999
1_97_2012-11-09,36903.23660000001
1_98_2012-11-09,13256.345100000008
1_99_2012-11-09,61.29760000000001
1_1_2012-11-16,20311.85410000002
1_2_2012-11-16,44308.87799999998
1_3_2012-11-16,10868.316100000002
1_4_2012-11-16,38835.47970000001
1_5_2012-11-16,28474.940500000015
1_6_2012-11-16,3827.6973000000016
1_7_2012-11-16,24517.659000000003
1_8_2012-11-16,36263.44269999999
1_9_2012-11-16,34181.036199999995
1_10_2012-11-16,32382.75400000002
1_11_2012-11-16,27419.080400000006
1_12_2012-11-16,8588.305399999994
1_13_2012-11-16,37984.787000000004
1_14_2012-11-16,17323.415399999987
1_16_2012-11-16,5778.369999999999
1_17_2012-11-16,9563.847399999997
1_18_2012-11-16,12455.197899999997
1_19_2012-11-16,1052.009
1_20_2012-11-16,3424.5603
1_21_2012-11-16,8222.9451
1_22_2012-11-16,7487.849400000002
1_23_2012-11-16,23508.5502
1_24_2012-11-16,6465.3700999999965
1_25_2012-11-16,11015.022199999992
1_26_2012-11-16,7557.187100000005
1_27_2012-11-16,1820.9323000000013
1_28_2012-11-16,724.1083000000004
1_29_2012-11-16,6055.922399999999
1_30_2012-11-16,2320.9459000000015
1_31_2012-11-16,1591.8530999999991
1_32_2012-11-16,6011.3629
1_33_2012-11-16,5988.8800999999985
1_34_2012-11-16,12069.370399999993
1_35_2012-11-16,2489.9322999999986
1_36_2012-11-16,1948.5409999999995
1_37_2012-11-16,2702.1267000000016
1_38_2012-11-16,77712.07440000003
1_40_2012-11-16,60062.43500000003
1_41_2012-11-16,1199.3547
1_42_2012-11-16,7692.809299999998
1_44_2012-11-16,5917.794300000001
1_46_2012-11-16,17583.074699999983
1_48_2012-11-16,2484.85
1_49_2012-11-16,9862.881999999992
1_52_2012-11-16,2016.9152999999994
1_54_2012-11-16,36.707800000000034
1_55_2012-11-16,20063.208700000007
1_56_2012-11-16,1036.5002000000006
1_58_2012-11-16,3902.4384999999997
1_59_2012-11-16,777.8554000000007
1_60_2012-11-16,893.2699999999999
1_67_2012-11-16,7064.804900000004
1_71_2012-11-16,2574.991700000001
1_72_2012-11-16,42059.6448
1_74_2012-11-16,10105.9427
1_79_2012-11-16,32490.765300000032
1_80_2012-11-16,19113.365899999997
1_81_2012-11-16,30572.181
1_82_2012-11-16,20481.931099999987
1_83_2012-11-16,5846.899
1_85_2012-11-16,3060.4385
1_87_2012-11-16,48165.60769999999
